source,title,ship,cruiseLine,region,departurePort,arrivalPort,departureDate,nights,itinerary,priceFrom,currency,cabinType,flightIncluded,escorted,familyScore,luxuryTier,clubRoom,clubRoomLabel,clubRoomNote,status,tags,notes,bookingUrl,affiliateUrl,sourceUrl,lastChecked,autoUpdatedAt,sourceReachable,sourceHttpStatus,sourcePageTitle,sourceFinalUrl,updateNote
ベストワンクルーズ,リーガルプリンセス号で行く イギリス・英国クルーズ 7泊8日 -サウサンプトン発(イギリス)サウサンプトン着(イギリス)-,リーガルプリンセス号,プリンセス・クルーズ,北欧,サウサンプトン,サウサンプトン,2027-07-30,7,サウサンプトン / ハウゲスン / ノールフィヨーレイド / ソグネ・フィヨルド / スタヴァンゲル,178716,JPY,スイート/リザーブ・コレクション級候補,false,false,A,スタンダード,true,スイート/リザーブ・コレクション級,プリンセスの上位客室をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,北欧 / プリンセス・クルーズ / サウサンプトン発(イギリス) / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/PRN/CO__PRN_PRNRG_7N_SOU_107725.html,,https://www.best1cruise.com/B/PRN/CO__PRN_PRNRG_7N_SOU_107725.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/PRN/CO__PRN_PRNRG_7N_SOU_107725.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,マリナー・オブ・ザ・シーズ号で行く 地中海クルーズ 7泊8日 -リスボン発(ポルトガル)バルセロナ着(スペイン)-,マリナー・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,地中海,リスボン,リスボン,2027-07-30,7,リスボン / タンジール / カサブランカ / 皆既日食クルージング / ジブラルタル海峡 / カルタヘナ / パルマデマヨルカ / バルセロナ,200000,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,地中海 / ロイヤルカリビアンクルーズ / ロイヤルカリビアンクルーズ / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCIMA_7N_LIS_110709.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCIMA_7N_LIS_110709.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCIMA_7N_LIS_110709.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,コスタディアデマ号で行く 北欧フィヨルドクルーズ 7泊8日 -キール運河発(ドイツ)キール運河着(ドイツ)-,コスタディアデマ号,コスタクルーズ,北欧,キール,キール,2027-07-30,7,キール / コペンハーゲン / ヘルシルト / ゲイランゲル / メイルー島/グレナディーン諸島 / オーフス,267462,JPY,通常客室目安,false,false,S,スタンダード,false,,,API取得,北欧 / コスタクルーズ / キール発(ドイツ),ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/COS/CO__COS_COSDI_7N_KIE_111407.html,,https://www.best1cruise.com/B/COS/CO__COS_COSDI_7N_KIE_111407.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/COS/CO__COS_COSDI_7N_KIE_111407.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,シーボーンアンコール号で行く アラスカ氷河クルーズ 7泊8日 -ジュノー発(アメリカ)バンクーバー着(カナダ)-,シーボーンアンコール号,シーボーンクルーズ,アラスカ,ジュノー,ジュノー,2027-07-30,7,British Columbia / ジュノー / ランゲル / プリンス・ルパート / バンクーバー,560900,JPY,スイート/リザーブ・コレクション級候補,false,false,B,高級,true,スイート/リザーブ・コレクション級,プリンセスの上位客室をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,アラスカ / シーボーンクルーズ / ジュノー(アメリカ)発 / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/SBN/CO__SBN_SEAEN_7N__100071.html,,https://www.best1cruise.com/B/SBN/CO__SBN_SEAEN_7N__100071.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/SBN/CO__SBN_SEAEN_7N__100071.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,コスタディアデマ号で行く 北欧フィヨルドクルーズ 7泊8日 -コペンハーゲン発(デンマーク)コペンハーゲン着(デンマーク)-,コスタディアデマ号,コスタクルーズ,北欧,コペンハーゲン,コペンハーゲン,2027-07-31,7,コペンハーゲン / ヘルシルト / ゲイランゲル / メイルー島/グレナディーン諸島 / オーフス / キール,267462,JPY,通常客室目安,false,false,S,スタンダード,false,,,API取得,北欧 / コスタクルーズ / コペンハーゲン発(デンマーク),ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/COS/CO__COS_COSDI_7N_CPH_111551.html,,https://www.best1cruise.com/B/COS/CO__COS_COSDI_7N_CPH_111551.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/COS/CO__COS_COSDI_7N_CPH_111551.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,セレブリティ・エクセル号で行く 地中海クルーズ 7泊8日 -バルセロナ発(スペイン)バルセロナ着(スペイン)-,セレブリティ・エクセル号,セレブリティクルーズ,地中海,バルセロナ,バルセロナ,2027-07-31,7,バルセロナ / パルマデマヨルカ / 皆既日食クルージング / タンジール / カディス / マラガ / イビサ,729000,JPY,通常客室目安,false,false,B,スタンダード,false,,,API取得,地中海 / セレブリティクルーズ / プレミアム客船,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/CEL/CO__CEL_CELXC_7N_BCN_100360.html,,https://www.best1cruise.com/B/CEL/CO__CEL_CELXC_7N_BCN_100360.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/CEL/CO__CEL_CELXC_7N_BCN_100360.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,セレブリティ・イクリプス号で行く 北欧フィヨルドクルーズ 7泊8日 -アムステルダム発(オランダ)アムステルダム着(オランダ)-,セレブリティ・イクリプス号,セレブリティ イクリプス,北欧,アムステルダム,アムステルダム,2027-08-01,7,アムステルダム / ハウゲスン / オルデン / オーレスン / スタヴァンゲル,289200,JPY,通常客室目安,false,false,B,スタンダード,false,,,API取得,北欧 / セレブリティ イクリプス / アムステルダム発(オランダ),ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/CEL/CO__CEL_CELEC_7N_AMS_100347.html,,https://www.best1cruise.com/B/CEL/CO__CEL_CELEC_7N_AMS_100347.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/CEL/CO__CEL_CELEC_7N_AMS_100347.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,エクスプローラー・オブ・ザ・シーズ号で行く 地中海クルーズ 7泊8日 -バルセロナ発(スペイン)ラヴェンナ着(イタリア)-,エクスプローラー・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,地中海,バルセロナ,バルセロナ,2027-08-02,7,バルセロナ / トゥーロン / ヴィルフランシュ/ニース / チビタベッキア/ローマ / サレルノ / メッシーナ(シチリア島) / ラヴェンナ,91400,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,地中海 / ロイヤルカリビアンクルーズ / ロイヤルカリビアンクルーズ / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCIEX_7N_BCN_103348.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCIEX_7N_BCN_103348.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCIEX_7N_BCN_103348.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,アンセム・オブ・ザ・シーズ号で行く アラスカ氷河クルーズ 7泊8日 -バンクーバー発(カナダ)スワード着(アメリカ)-,アンセム・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,アラスカ,バンクーバー,バンクーバー,2027-08-06,7,バンクーバー / アイシー海峡 / シトカ / スキャグウェイ / ハバード・グレーシャークルージング / スワード,82100,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,アラスカ / ロイヤルカリビアンクルーズ / バンクーバー発(カナダ) / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCIAN_7N_VAN_103664.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCIAN_7N_VAN_103664.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCIAN_7N_VAN_103664.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,マリナー・オブ・ザ・シーズ号で行く 地中海クルーズ 7泊8日 -バルセロナ発(スペイン)ラヴェンナ着(イタリア)-,マリナー・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,地中海,バルセロナ,バルセロナ,2027-08-06,7,バルセロナ / ヴィルフランシュ/ニース / ラスペツィア / チビタベッキア/ローマ / ナポリ / パレルモ / ラヴェンナ,108800,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,地中海 / ロイヤルカリビアンクルーズ / ロイヤルカリビアンクルーズ / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCIMA_7N_BCN_110714.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCIMA_7N_BCN_110714.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCIMA_7N_BCN_110714.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
